Lesson,Front,Back,Example,Translation
e03-l1,Mülltonne,garbage can,Bitte bring den Müll zur Mülltonne.,Please take the trash to the garbage can.
e03-l1,Schwamm,sponge,"Ich benutze einen Schwamm, um das Geschirr zu spülen.",I use a sponge to wash the dishes.
e03-l1,Bürste,brush; scrubber,"Ich brauche eine Bürste, um den Boden zu reinigen.",I need a brush to clean the floor.
e03-l1,voll,full; filled,Das Glas ist voll.,The glass is full.
e03-l1,wischen,to dust; to wipe; to mop,Ich wische den Boden.,I mop the floor.
e03-l1,sauber machen,to clean up,Wir machen das Zimmer sauber.,We clean up the room.
e03-l1,saugen,to vacuum,Ich sauge den Teppich.,I vacuum the carpet.
e03-l1,Pflanze,plant,Die Pflanze braucht Wasser.,The plant needs water.
e03-l1,ruhig bleiben,to stay calm; to stay quiet,"Bleib ruhig, alles wird gut.","Stay calm, everything will be fine."
e03-l1,einziehen,to move in,Er zieht nächste Woche ein.,He is moving in next week.
e03-l1,Lappen,rag; cloth,"Ich benutze einen Lappen, um den Tisch abzuwischen.",I use a rag to wipe the table.
e03-l1,etwas bügeln,to iron (something),Sie bügelt das Hemd.,She irons the shirt.
e03-l1,selber,self; yourself,Ich mache das selber.,I do it myself.
e03-l1,Pfandflasche,deposit bottle,Ich bringe die Pfandflaschen zurück.,I return the deposit bottles.
e03-l2,unhöflich,impolite,Er war sehr unhöflich.,He was very impolite.
e03-l2,mit jemandem sprechen,to speak with someone,Ich spreche mit meinem Nachbarn.,I am speaking with my neighbor.
e03-l2,Fest,celebration; party,Wir feiern ein Fest.,We are celebrating a party.
e03-l2,wenn,when; if,"Wenn du Zeit hast, ruf mich an.","If you have time, call me."
e03-l2,direkt,"directly; immediately; right (e.g., right here, right now)",Das Café ist direkt gegenüber.,The café is right across the street.
e03-l2,gegenüber,across the way; opposite,Das Restaurant ist gegenüber.,The restaurant is across the way.
e03-l2,nebenan,next door,Mein Freund wohnt nebenan.,My friend lives next door.
e03-l2,etwas abschließen,to lock something,Ich schließe die Tür ab.,I lock the door.
e03-l2,Nachbarschaft,neighborhood,Die Nachbarschaft ist sehr freundlich.,The neighborhood is very friendly.
e03-l2,sich bei jemandem über jemanden/etwas beschweren,to complain to someone about something/someone,Sie beschwert sich über den Lärm.,She complains about the noise.
e03-l2,sich bei jemandem bedanken,to say thank you to someone,Ich bedanke mich bei dir für deine Hilfe.,I thank you for your help.
e03-l2,sich mit jemandem streiten,to argue with someone,Sie streitet sich mit ihrem Bruder.,She is arguing with her brother.
e03-l2,jemandem bei etwas helfen,to help,Kannst du mir bei der Hausarbeit helfen?,Can you help me with the housework?
e03-l2,sich ändern,to change,Die Situation hat sich geändert.,The situation has changed.
e03-l2,Hausordnung,house rules,Die Hausordnung muss eingehalten werden.,The house rules must be followed.
e03-l2,Treppenhaus,stairwell,Das Treppenhaus ist sauber.,The stairwell is clean.
e03-l2,Rücksicht auf etwas/jemanden nehmen,to show consideration for something/someone; to show concern for something/someone,Er nimmt Rücksicht auf seine Nachbarn.,He shows consideration for his neighbors.
e03-l3,jemanden erziehen,to rear someone; to nurture someone; to educate someone,Sie erzieht ihre Kinder alleine.,She raises her children alone.
e03-l3,ein Kind bekommen,to have a baby,Sie bekommt ein Kind.,She is having a baby.
e03-l3,zusammen sein,to be together,Sie sind seit einem Jahr zusammen.,They have been together for a year.
e03-l3,freiwillig,voluntary; volunteer; voluntarily,Er arbeitet freiwillig im Altenheim.,He volunteers at the nursing home.
e03-l3,etwas anbieten,to offer; to serve,Ich biete dir einen Kaffee an.,I offer you a coffee.
e03-l3,die Nerven verlieren,to lose one's nerves; to lose one's cool,"Verliere nicht die Nerven, alles wird gut.","Don’t lose your cool, everything will be fine."
e03-l3,Alleinerziehende,single parent (male),Der Alleinerziehende kümmert sich um sein Kind.,The single parent takes care of his child.
e03-l3,schwierig,difficult,Die Prüfung war sehr schwierig.,The exam was very difficult.
e03-l3,Betreuung,care,Die Betreuung der Kinder ist wichtig.,The care of the children is important.
e03-l3,enden,to end,Der Film endet um 20 Uhr.,The movie ends at 8 p.m.
e03-l3,Gruppe,group,Die Gruppe trifft sich jeden Montag.,The group meets every Monday.
e03-l3,Tagesmutter,daycare; childminder,Die Tagesmutter kümmert sich um die Kinder.,The childminder takes care of the children.
e03-l3,Alles in Ordnung?,Everything OK?,Alles in Ordnung? Du siehst müde aus.,Everything OK? You look tired.
e03-l3,schwanger,pregnant,Sie ist schwanger und freut sich auf das Baby.,She is pregnant and looking forward to the baby.
e03-l3,Erzieherin,kindergarten teacher; childcare provider (female),Die Erzieherin liest den Kindern vor.,The kindergarten teacher reads to the children.
e03-l3,alleinerziehend,single parent,Sie ist alleinerziehend und hat zwei Kinder.,She is a single parent with two children.
e03-l3,Erzieher,kindergarten teacher; childcare provider (male),Der Erzieher spielt mit den Kindern.,The kindergarten teacher plays with the children.
e03-l3,Grundschule,elementary school,Mein Sohn geht in die Grundschule.,My son goes to elementary school.
e03-l3,etwas/jemanden betreuen,to maintain something; to look after something/someone,Sie betreut die Kinder im Kindergarten.,She looks after the children in the kindergarten.
e03-l3,Das heißt ...,That means...,"Das heißt, wir müssen früher gehen.",That means we have to leave earlier.
e03-l3,Angebot,offering; range,Das Angebot im Supermarkt ist groß.,The range in the supermarket is large.
e03-l3,"mancher, manche, manches",some; certain,Manche Leute sind sehr freundlich.,Some people are very friendly.
e03-l3,Kindertagesstätte,daycare center; day nursery,Die Kindertagesstätte öffnet um 7 Uhr.,The daycare center opens at 7 a.m.
e03-l4,"besonderer, besondere, besonderes",special,Das ist ein besonderer Tag.,This is a special day.
e03-l4,mit jemandem zusammenwohnen,to live (together) with someone,Ich wohne mit meinem Freund zusammen.,I live together with my boyfriend.
e03-l4,verwandt,related,Wir sind miteinander verwandt.,We are related to each other.
e03-l4,früher,previously; in the past,Früher war alles anders.,"In the past, everything was different."
e03-l4,öfter,more frequently; more often,Ich gehe öfter ins Kino.,I go to the cinema more often.
e03-l4,wiegen,to weigh,Ich wiege 70 Kilo.,I weigh 70 kilos.
e03-l4,Unterschied,difference; distinction,Es gibt einen großen Unterschied zwischen den beiden.,There is a big difference between the two.
e03-l4,ausziehen,to move out,Er zieht nächsten Monat aus.,He is moving out next month.
e03-l4,ziehen,to move to,Sie zieht nach Berlin.,She is moving to Berlin.
e03-l4,Bewohner,resident (male),Der Bewohner des Hauses ist sehr freundlich.,The resident of the house is very friendly.
e03-l4,Bewohnerin,resident (female),Die Bewohnerin hat eine Katze.,The resident has a cat.
e04-l1,Kultur,culture,Die Kultur des Landes ist sehr interessant.,The culture of the country is very interesting.
e04-l1,etwas kriegen,to get something; to have,Ich kriege ein Geschenk.,I get a gift.
e04-l1,zurückfliegen,to fly back,Wir fliegen nächste Woche zurück.,We are flying back next week.
e04-l1,"Ticket,ticket (for public transportation, not flying)",Ich kaufe ein Ticket für den Bus.,I buy a ticket for the bus.,
e04-l1,Prozent,percent,50 Prozent der Leute stimmten zu.,50 percent of the people agreed.
e04-l1,Städteurlaub,city trip,Wir machen einen Städteurlaub nach Berlin.,We are taking a city trip to Berlin.
e04-l1,Flug,flight,Der Flug nach Berlin dauert eine Stunde.,The flight to Berlin takes one hour.
e04-l1,Reisebüro,travel agency,Ich buche den Urlaub im Reisebüro.,I book the vacation at the travel agency.
e04-l1,Fernreise,long-distance travel; overseas travel,Die Fernreise war anstrengend.,The long-distance travel was exhausting.
e04-l1,Geschäftsreise,business trip,Er ist auf einer Geschäftsreise.,He is on a business trip.
e04-l1,ausfallen,to be canceled,Der Flug ist ausgefallen.,The flight was canceled.
e04-l1,Gruppenreise,group trip,Die Gruppenreise war sehr schön.,The group trip was very nice.
e04-l1,Ausland,abroad,Er reist oft ins Ausland.,He often travels abroad.
e04-l1,Rückflug,return flight (flight back from somewhere),Der Rückflug war verspätet.,The return flight was delayed.
e04-l1,Ort,place,Das ist ein schöner Ort.,This is a beautiful place.
e04-l1,privat,private,Das ist eine private Angelegenheit.,This is a private matter.
e04-l1,praktisch,practical,Das ist eine praktische Lösung.,This is a practical solution.
e04-l1,Rundreise,round trip,Die Rundreise war sehr interessant.,The round trip was very interesting.
e04-l1,Ergebnis,result,Das Ergebnis der Prüfung ist gut.,The result of the exam is good.
e04-l1,Hinflug,flight (to somewhere),Der Hinflug war pünktlich.,The flight to the destination was on time.
e04-l1,hinfliegen,to fly to,Wir fliegen morgen nach Paris hin.,We are flying to Paris tomorrow.
e04-l1,unterwegs,on the road,Ich bin den ganzen Tag unterwegs.,I am on the road all day.
e04-l1,Befragter,respondent (male),Der Befragte hat die Fragen beantwortet.,The respondent answered the questions.
e04-l1,Befragte,respondent (female),Die Befragte hat ihre Meinung geäußert.,The respondent expressed her opinion.
e04-l1,Strandurlaub,beach vacation,Der Strandurlaub war entspannend.,The beach vacation was relaxing.
e04-l2,Zimmermädchen,housekeeping (female),Das Zimmermädchen macht das Bett.,The housekeeping staff makes the bed.
e04-l2,gleich,then; after that; shortly thereafter,Ich komme gleich.,I will come shortly.
e04-l2,Reisepass,passport,Bitte zeigen Sie Ihren Reisepass.,Please show your passport.
e04-l2,etwas benötigen,to need something,Ich benötige Hilfe.,I need help.
e04-l2,Rezeption,reception; front desk,Die Rezeption ist rund um die Uhr besetzt.,The reception is staffed 24/7.
e04-l2,Schlafsaal,dormitory,Der Schlafsaal ist voll.,The dormitory is full.
e04-l2,Sauna,sauna,Die Sauna ist sehr entspannend.,The sauna is very relaxing.
e04-l2,Pension,guesthouse,Wir übernachten in einer Pension.,We are staying in a guesthouse.
e04-l2,für etwas sorgen,to ensure; to provide for,Wir sorgen für Ihre Zufriedenheit.,We ensure your satisfaction.
e04-l2,Roomboy,housekeeping (male),Der Roomboy bringt das Gepäck.,The housekeeping staff brings the luggage.
e04-l2,inbegriffen,included,Das Frühstück ist im Preis inbegriffen.,Breakfast is included in the price.
e04-l2,etwas/jemanden akzeptieren,to accept something/someone,Die Kreditkarte wird nicht akzeptiert.,The credit card is not accepted.
e04-l2,Rezeptionist,front desk clerk; receptionist (male),Der Rezeptionist hat uns geholfen.,The receptionist helped us.
e04-l2,Rezeptionistin,front desk clerk; receptionist (female),Die Rezeptionistin hat das Zimmer gebucht.,The receptionist booked the room.
e04-l2,angenehm,pleasant,Der Aufenthalt war sehr angenehm.,The stay was very pleasant.
e04-l2,Gang,hallway; corridor,Der Gang ist lang und schmal.,The hallway is long and narrow.
e04-l2,Cocktail,cocktail,Ich trinke einen Cocktail.,I am drinking a cocktail.
e04-l2,Einzelzimmer,single room,Ich nehme ein Einzelzimmer.,I will take a single room.
e04-l2,Hotelmanagerin,hotel manager (female),Die Hotelmanagerin hat uns geholfen.,The hotel manager helped us.
e04-l2,stressig,stressful,Der Job ist sehr stressig.,The job is very stressful.
e04-l2,eine Frage beantworten,to answer a question,Kannst du die Frage beantworten?,Can you answer the question?
e04-l2,Hotelmanager,hotel manager (male),Der Hotelmanager ist sehr freundlich.,The hotel manager is very friendly.
e04-l2,Doppelzimmer,double room,Wir buchen ein Doppelzimmer.,We are booking a double room.
e04-l2,Ausweis,ID; ID card,Bitte zeigen Sie Ihren Ausweis.,Please show your ID.
e04-l2,Aufgabe,task; duty,Das ist eine schwierige Aufgabe.,This is a difficult task.
e04-l2,Badewanne,bathtub,Die Badewanne ist sehr groß.,The bathtub is very large.
e04-l2,Haustier,pet,Ich habe ein Haustier.,I have a pet.
e04-l2,Übernachtung,overnight stay,Die Übernachtung kostet 100 Euro.,The overnight stay costs 100 euros.
e04-l2,rechts/links abbiegen,to turn right/left,Biegen Sie an der nächsten Kreuzung links ab.,Turn left at the next intersection.
e04-l2,erholsam,relaxing; restful,Der Urlaub war sehr erholsam.,The vacation was very relaxing.
e04-l2,Aufenthalt,residence; stay,Ich wünsche Ihnen einen angenehmen Aufenthalt.,I wish you a pleasant stay.
e04-l2,Frühstücksbüffet,breakfast buffet,Das Frühstücksbüffet ist reichhaltig.,The breakfast buffet is plentiful.
e04-l3,Regenschirm,umbrella,Ich nehme meinen Regenschirm mit.,I take my umbrella with me.
e04-l3,aussteigen,to get out,Wir steigen an der nächsten Station aus.,We get off at the next station.
e04-l3,Rückfahrt,return journey,Die Rückfahrt war anstrengend.,The return journey was exhausting.
e04-l3,hinfahren,to travel to,Wir fahren morgen nach Berlin hin.,We are traveling to Berlin tomorrow.
e04-l3,einsteigen,to board (a train),Wir steigen in den Zug ein.,We board the train.
e04-l3,Fahrschein,ticket,Ich kaufe einen Fahrschein für den Zug.,I buy a ticket for the train.
e04-l3,glauben,to believe; to think,"Ich glaube, dass er recht hat.",I think he is right.
e04-l3,etwas denken,to think,"Ich denke, dass es regnen wird.",I think it will rain.
e04-l3,Reiseführer,guidebook; travel guide,Ich kaufe einen Reiseführer für die Stadt.,I buy a travel guide for the city.
e04-l3,Hauptbahnhof,main train station,Der Hauptbahnhof ist sehr groß.,The main train station is very large.
e04-l3,Hinfahrt,outward journey,Die Hinfahrt war sehr angenehm.,The outward journey was very pleasant.
e04-l3,gegen,here: at about; around; just before,Wir treffen uns gegen 8 Uhr.,We meet at around 8 o'clock.
e04-l3,Gleis,platform,Der Zug fährt von Gleis 3 ab.,The train departs from platform 3.
e04-l3,abfahren,to depart,Der Zug fährt um 10 Uhr ab.,The train departs at 10 a.m.
e04-l3,lustig,fun; funny; humorous,Das war ein lustiger Abend.,That was a fun evening.
e04-l3,Verbindung,connection,Die Zugverbindung ist gut.,The train connection is good.
e04-l3,zurückfahren,to travel back,Wir fahren nächste Woche zurück.,We are traveling back next week.
e04-l3,Abfahrt,departure,Die Abfahrt des Zuges ist um 9 Uhr.,The train's departure is at 9 a.m.
e04-l3,wissen,to know,"Ich weiß, wo der Bahnhof ist.",I know where the train station is.
e04-l3,Ankunft,arrival,Die Ankunft ist um 15 Uhr.,The arrival is at 3 p.m.
e04-l3,wahrscheinlich,probably,Er kommt wahrscheinlich später.,He will probably come later.
e04-l3,vielleicht,perhaps; maybe,Vielleicht regnet es morgen.,Maybe it will rain tomorrow.
e04-l3,vermuten,to suppose; assume,"Ich vermute, dass er krank ist.",I assume he is sick.
e04-l3,Stadtrundgang,sightseeing tour,Wir machen einen Stadtrundgang.,We are taking a sightseeing tour.
